Date(yyyy:mm:dd),Time(hh:mm:ss),AOD_440nm,AOD_1020nm,440-870_Angstrom_Exponent,Precipitable_Water(cm),Tipo
2018-08-13,00:00:00,0.1553,0.037299999999999986,1.6501000000000001,1.1865,Excel
2018-08-13,01:00:00,0.17710000000000004,0.04289999999999998,1.6197000000000001,1.1632,Excel
2018-08-13,02:00:00,0.19889999999999997,0.0485,1.5893000000000002,1.1399,Excel
2018-08-13,03:00:00,0.227937,0.057373,1.555307,1.12675,Python
2018-08-13,04:00:00,0.24182,0.061313,1.544105,1.140953,Python
2018-08-13,05:00:00,0.22118,0.056799,1.530922,1.161148,Python
2018-08-13,06:00:00,0.206686,0.05258,1.548207,1.187563,Python
2018-08-13,07:00:00,0.230156,0.057898,1.563773,1.198711,Python
2018-08-13,08:00:00,0.30708,0.083111,1.47804,1.227117,Python
2018-08-13,09:00:00,0.343939,0.095915,1.43777,1.245723,Python
2018-08-13,10:00:00,0.378858,0.104328,1.445568,1.244052,Python
2018-08-13,11:00:00,0.41753,0.112095,1.478842,1.28506,Python
2018-08-13,12:00:00,0.497634,0.132349,1.488074,1.309176,Python
2018-08-13,13:00:00,0.551161,0.150609,1.446434,1.334415,Constante
2018-08-13,14:00:00,0.551161,0.150609,1.446434,1.334415,Constante
2018-08-13,15:00:00,0.551161,0.150609,1.446434,1.334415,Constante
2018-08-13,16:00:00,0.551161,0.150609,1.446434,1.334415,Constante
2018-08-13,17:00:00,0.551161,0.150609,1.446434,1.334415,Constante
2018-08-13,18:00:00,0.551161,0.150609,1.446434,1.334415,Constante
2018-08-13,19:00:00,0.551161,0.150609,1.446434,1.334415,Constante
2018-08-13,20:00:00,0.551161,0.150609,1.446434,1.334415,Constante
2018-08-13,21:00:00,0.551161,0.150609,1.446434,1.334415,Constante
2018-08-13,22:00:00,0.551161,0.150609,1.446434,1.334415,Constante
2018-08-13,23:00:00,0.551161,0.150609,1.446434,1.334415,Constante
